date,kwh
2023-01-01,185.2
2023-01-02,202.8
2023-01-03,164.1
2023-01-04,202.9
2023-01-05,201.2
2023-01-06,163.6
2023-01-07,174.5
2023-01-08,170.9
2023-01-09,183.1
2023-01-10,209.4
2023-01-11,189.6
2023-01-12,175.2
2023-01-13,167.9
2023-01-14,145.2
2023-01-15,179.6
2023-01-16,152.6
2023-01-17,202.4
2023-01-18,178.1
2023-01-19,194.7
2023-01-20,142.8
2023-01-21,154.0
2023-01-22,158.5
2023-01-23,212.5
2023-01-24,178.1
2023-01-25,220.0
2023-01-26,197.9
2023-01-27,154.5
2023-01-28,148.0
2023-01-29,138.3
2023-01-30,191.2
2023-01-31,204.3
2023-02-01,208.2
2023-02-02,206.6
2023-02-03,171.8
2023-02-04,169.2
2023-02-05,168.4
2023-02-06,207.8
2023-02-07,232.7
2023-02-08,198.7
2023-02-09,219.0
2023-02-10,118.4
2023-02-11,160.4
2023-02-12,161.9
2023-02-13,215.1
2023-02-14,183.3
2023-02-15,221.5
2023-02-16,208.6
2023-02-17,164.8
2023-02-18,166.0
2023-02-19,190.4
2023-02-22,189.2
2023-02-23,231.9
2023-02-24,188.3
2023-02-25,174.6
2023-02-26,204.1
2023-02-27,211.3
2023-02-28,267.6
2023-03-01,241.1
2023-03-02,247.4
2023-03-03,208.0
2023-03-04,213.2
2023-03-05,207.2
2023-03-06,222.9
2023-03-07,245.8
2023-03-08,223.6
2023-03-09,261.5
2023-03-10,195.6
2023-03-11,203.7
2023-03-12,206.0
2023-03-13,247.3
2023-03-14,240.6
2023-03-15,261.7
2023-03-16,244.2
2023-03-17,207.8
2023-03-18,203.2
2023-03-19,221.6
2023-03-20,247.9
2023-03-21,268.7
2023-03-22,268.3
2023-03-23,229.9
2023-03-24,211.2
2023-03-25,198.7
2023-03-26,229.9
2023-03-27,272.0
2023-03-28,269.6
2023-03-29,280.2
2023-03-30,278.7
2023-03-31,274.0
2023-04-01,225.2
2023-04-02,240.6
2023-04-03,263.7
2023-04-04,280.2
2023-04-05,320.2
2023-04-06,314.7
2023-04-07,238.2
2023-04-08,307.6
2023-04-09,271.9
2023-04-10,303.7
2023-04-11,275.6
2023-04-12,265.8
2023-04-13,304.0
2023-04-14,269.9
2023-04-15,266.5
2023-04-16,295.0
2023-04-17,270.7
2023-04-18,308.2
2023-04-19,310.6
2023-04-20,327.9
2023-04-21,302.0
2023-04-22,287.4
2023-04-23,296.6
2023-04-24,356.6
2023-04-25,363.7
2023-04-26,322.2
2023-04-27,329.2
2023-04-28,318.4
2023-04-29,300.0
2023-04-30,326.6
2023-05-01,306.1
2023-05-02,344.3
2023-05-03,340.6
2023-05-04,364.8
2023-05-05,310.0
2023-05-06,293.1
2023-05-07,310.2
2023-05-08,355.7
2023-05-09,364.4
2023-05-10,395.2
2023-05-11,382.2
2023-05-12,319.1
2023-05-13,316.4
2023-05-14,312.7
2023-05-15,343.0
2023-05-16,347.0
2023-05-17,384.5
2023-05-18,354.8
2023-05-19,373.0
2023-05-20,320.9
2023-05-21,326.1
2023-05-22,348.7
2023-05-23,399.1
2023-05-24,411.5
2023-05-25,377.3
2023-05-26,386.1
2023-05-27,357.0
2023-05-28,363.6
2023-05-29,405.7
2023-05-30,373.6
2023-05-31,415.7
2023-06-01,387.7
2023-06-02,365.3
2023-06-03,374.3
2023-06-04,376.9
2023-06-05,404.9
2023-06-06,443.8
2023-06-07,421.2
2023-06-08,409.9
2023-06-09,371.4
2023-06-10,419.6
2023-06-11,374.2
2023-06-12,432.5
2023-06-13,430.3
2023-06-14,426.1
2023-06-15,439.7
2023-06-16,402.7
2023-06-17,389.8
2023-06-18,411.6
2023-06-19,371.4
2023-06-20,449.3
2023-06-21,409.7
2023-06-22,442.9
2023-06-23,405.7
2023-06-24,402.1
2023-06-25,403.9
2023-06-26,411.3
2023-06-27,443.2
2023-06-28,434.4
2023-06-29,448.3
2023-06-30,399.2
2023-07-01,433.5
2023-07-02,394.2
2023-07-03,426.1
2023-07-04,457.8
2023-07-05,460.4
2023-07-06,442.0
2023-07-07,352.2
2023-07-08,434.3
2023-07-09,397.4
2023-07-10,450.2
2023-07-11,417.4
2023-07-12,443.8
2023-07-13,427.7
2023-07-14,400.1
2023-07-15,391.4
2023-07-16,381.6
2023-07-17,453.8
2023-07-18,450.0
2023-07-19,467.5
2023-07-21,428.8
2023-07-22,424.3
2023-07-23,407.5
2023-07-24,450.4
2023-07-25,444.3
2023-07-26,439.2
2023-07-27,420.0
2023-07-28,433.9
2023-07-29,394.3
2023-07-30,417.0
2023-07-31,446.7
2023-08-01,420.4
2023-08-02,456.9
2023-08-03,418.9
2023-08-04,388.7
2023-08-05,388.1
2023-08-06,406.1
2023-08-07,431.1
2023-08-08,432.8
2023-08-09,435.9
2023-08-10,396.1
2023-08-11,411.9
2023-08-12,390.6
2023-08-13,399.3
2023-08-14,466.1
2023-08-15,426.8
2023-08-16,463.0
2023-08-17,436.2
2023-08-18,392.9
2023-08-19,397.4
2023-08-20,423.1
2023-08-21,409.8
2023-08-22,440.6
2023-08-23,463.8
2023-08-24,421.5
2023-08-25,416.9
2023-08-26,360.8
2023-08-27,389.9
2023-08-28,412.8
2023-08-29,445.0
2023-08-30,446.8
2023-08-31,404.4
2023-09-01,377.7
2023-09-02,346.4
2023-09-03,385.4
2023-09-04,408.8
2023-09-05,381.3
2023-09-06,392.0
2023-09-07,401.2
2023-09-08,374.8
2023-09-09,398.1
2023-09-10,380.9
2023-09-11,402.0
2023-09-12,395.9
2023-09-13,405.1
2023-09-14,386.5
2023-09-15,379.5
2023-09-16,384.0
2023-09-17,359.0
2023-09-18,384.9
2023-09-19,421.6
2023-09-20,364.8
2023-09-21,392.7
2023-09-22,343.9
2023-09-23,336.2
2023-09-24,335.9
2023-09-25,402.9
2023-09-26,387.4
2023-09-27,371.8
2023-09-28,379.4
2023-09-29,312.2
2023-09-30,299.9
2023-10-01,343.9
2023-10-02,376.9
2023-10-03,368.3
2023-10-04,327.4
2023-10-05,346.3
2023-10-06,309.4
2023-10-07,331.3
2023-10-08,325.2
2023-10-09,359.7
2023-10-10,360.7
2023-10-11,367.7
2023-10-12,343.8
2023-10-13,298.9
2023-10-14,310.5
2023-10-15,293.9
2023-10-16,352.1
2023-10-17,316.6
2023-10-18,352.3
2023-10-19,342.1
2023-10-20,299.1
2023-10-21,310.9
2023-10-22,274.5
2023-10-23,313.4
2023-10-24,323.7
2023-10-25,307.8
2023-10-26,331.1
2023-10-27,282.9
2023-10-28,275.8
2023-10-29,284.2
2023-10-30,317.7
2023-10-31,284.0
2023-11-01,304.5
2023-11-02,330.4
2023-11-03,273.9
2023-11-04,270.4
2023-11-05,287.9
2023-11-06,334.1
2023-11-07,305.0
2023-11-08,263.9
2023-11-09,272.4
2023-11-10,226.0
2023-11-11,229.8
2023-11-12,264.4
2023-11-13,307.7
2023-11-14,277.4
2023-11-15,305.5
2023-11-16,316.7
2023-11-17,239.0
2023-11-18,217.2
2023-11-19,226.9
2023-11-20,278.4
2023-11-21,256.8
2023-11-22,272.7
2023-11-23,270.1
2023-11-24,227.7
2023-11-25,214.2
2023-11-26,221.1
2023-11-27,228.8
2023-11-28,288.7
2023-11-29,263.5
2023-11-30,232.8
2023-12-01,195.8
2023-12-02,206.1
2023-12-03,234.3
2023-12-04,269.4
2023-12-05,234.3
2023-12-06,221.4
2023-12-07,240.8
2023-12-08,188.9
2023-12-09,200.8
2023-12-10,180.8
2023-12-11,243.8
2023-12-12,259.6
2023-12-13,222.9
2023-12-14,223.1
2023-12-15,218.1
2023-12-16,195.6
2023-12-17,199.9
2023-12-18,226.8
2023-12-19,250.6
2023-12-20,217.6
2023-12-21,222.0
2023-12-22,178.3
2023-12-23,192.9
2023-12-24,193.0
2023-12-25,254.8
2023-12-26,230.9
2023-12-27,203.7
2023-12-28,237.3
2023-12-29,208.1
2023-12-30,160.8
2023-12-31,182.0
2024-01-01,207.0
2024-01-02,186.8
2024-01-03,227.1
2024-01-04,249.8
2024-01-05,168.4
2024-01-06,189.4
2024-01-07,167.1
2024-01-08,227.8
2024-01-09,222.0
2024-01-10,243.5
2024-01-11,221.3
2024-01-12,178.0
2024-01-13,180.1
2024-01-14,208.0
2024-01-15,222.2
2024-01-16,223.4
2024-01-17,208.2
2024-01-18,256.9
2024-01-19,210.8
2024-01-20,208.2
2024-01-21,219.9
2024-01-22,211.6
2024-01-23,223.7
2024-01-24,201.3
2024-01-25,225.8
2024-01-26,164.9
2024-01-27,190.4
2024-01-28,171.2
2024-01-29,203.5
2024-01-30,206.7
2024-01-31,232.1
2024-02-01,230.9
2024-02-02,205.8
2024-02-03,180.0
2024-02-04,160.9
2024-02-05,205.3
2024-02-06,225.5
2024-02-07,216.5
2024-02-08,198.5
2024-02-09,185.7
2024-02-10,216.3
2024-02-11,202.6
2024-02-12,224.2
2024-02-13,226.5
2024-02-14,244.1
2024-02-15,232.2
2024-02-16,207.7
2024-02-17,224.3
2024-02-18,190.0
2024-02-19,256.1
2024-02-20,223.7
2024-02-21,237.1
2024-02-22,256.4
2024-02-23,227.4
2024-02-24,192.0
2024-02-25,193.8
2024-02-26,242.2
2024-02-27,285.4
2024-02-28,215.8
2024-02-29,239.0
2024-03-01,209.1
2024-03-02,210.6
2024-03-03,262.3
2024-03-04,262.3
2024-03-05,250.3
2024-03-06,285.2
2024-03-07,263.8
2024-03-08,244.8
2024-03-09,228.1
2024-03-10,248.1
2024-03-11,274.8
2024-03-12,265.4
2024-03-13,297.8
2024-03-14,271.8
2024-03-15,239.1
2024-03-16,234.3
2024-03-17,235.5
2024-03-18,260.2
2024-03-19,265.8
2024-03-20,249.4
2024-03-21,273.1
2024-03-22,232.7
2024-03-23,228.0
2024-03-24,241.7
2024-03-25,265.3
2024-03-26,280.9
2024-03-27,284.1
2024-03-28,309.2
2024-03-29,232.5
2024-03-30,265.5
2024-04-01,306.9
2024-04-02,303.9
2024-04-03,319.1
2024-04-04,326.4
