trip_id,zone,payment_type,passenger_count,trip_distance,fare_amount
1,Central,Card,1,2.05,25.66
2,South,Cash,2,2.61,41.38
3,West,Card,3,12.97,21.7
4,Downtown,Wallet,5,7.77,35.62
5,South,Cash,5,7.43,8.36
6,North,Cash,5,4.92,19.1
7,East,Card,5,6.34,14.85
8,South,Cash,4,12.93,18.3
9,North,Cash,3,10.65,18.04
10,Downtown,Card,5,6.8,10.13
11,East,Cash,5,3.23,8.76
12,South,Card,3,3.59,19.67
13,Central,Card,4,10.35,38.45
14,West,Card,2,2.79,8.64
15,West,Card,4,5.01,30.2
16,South,Cash,1,9.2,22.63
17,West,Card,4,4.41,8.77
18,Central,Cash,4,2.58,25.21
19,Airport,Card,3,7.26,11.53
20,East,Card,2,4.86,39.22
21,Central,Wallet,1,6.6,14.73
22,North,Cash,4,12.42,20.65
23,Airport,Card,1,1.03,7.45
24,Airport,Card,1,0.71,10.89
25,Airport,Cash,2,1.17,21.99
26,Suburb,Card,5,6.45,43.83
27,Suburb,Cash,3,0.92,7.81
28,Airport,Card,4,3.57,10.49
29,Airport,Card,1,1.43,37.9
30,Central,Cash,4,1.17,19.63
31,East,Cash,1,6.54,21.97
32,East,Card,5,10.13,16.95
33,Airport,Card,2,4.94,9.31
34,Downtown,Cash,5,4.63,13.48
35,Downtown,Card,4,15.73,14.27
36,South,Cash,2,4.34,30.6
37,North,Card,5,5.12,6.41
38,Downtown,Cash,3,7.94,28.17
39,Downtown,Cash,2,9.23,30.3
40,West,Card,1,3.57,7.83
41,Airport,Cash,3,0.35,10.35
42,Airport,Cash,4,6.24,18.05
43,South,Cash,4,4.94,42.39
44,East,Card,5,3.95,10.06
45,East,Card,3,10.98,22.74
46,East,Card,4,8.17,20.13
47,Airport,Cash,4,4.13,26.63
48,West,Card,1,2.84,32.61
49,Central,Card,2,4.53,20.74
50,East,Card,2,1.77,31.15
51,Downtown,Cash,2,2.04,32.81
52,Central,Wallet,1,11.54,29.17
53,North,Card,2,7.64,27.77
54,West,Wallet,1,3.29,14.96
55,North,Card,5,1.34,45.75
56,Airport,Card,5,4.73,26.06
57,East,Card,1,4.71,11.35
58,Downtown,Card,2,3.4,15.18
59,North,Cash,2,8.73,48.82
60,East,Card,5,3.56,39.75
61,West,Wallet,2,0.95,29.9
62,East,Card,2,17.87,12.88
63,Downtown,Cash,4,2.57,18.61
64,North,Card,4,4.11,20.77
65,North,Cash,5,3.91,15.84
66,East,Card,1,3.83,14.44
67,West,Card,5,3.33,15.96
68,North,Cash,5,5.3,23.49
69,Airport,Cash,2,5.93,42.65
70,Airport,Card,3,1.61,10.44
71,Central,Card,5,1.3,24.07
72,East,Card,5,2.08,16.81
73,East,Cash,2,3.76,50.62
74,Downtown,Cash,3,3.42,5.51
75,West,Card,4,2.04,47.04
76,Suburb,Card,1,5.93,50.16
77,Central,Card,2,4.08,9.14
78,East,Card,5,2.73,37.32
79,South,Card,3,6.77,21.46
80,Airport,Card,3,4.07,32.76
81,North,Card,4,15.15,67.27
82,North,Card,3,2.27,58.99
83,North,Cash,3,4.01,19.09
84,East,Card,4,5.8,14.5
85,Suburb,Cash,3,1.82,16.23
86,Airport,Card,3,6.63,34.35
87,North,Card,4,2.36,24.24
88,Suburb,Card,2,4.25,22.36
89,East,Cash,3,4.76,9.73
90,Airport,Wallet,2,5.53,13.12
91,Airport,Card,2,0.24,15.23
92,South,Card,3,4.26,31.47
93,West,Wallet,1,4.74,20.93
94,West,Wallet,3,3.4,19.65
95,Downtown,Card,1,2.86,40.92
96,West,Card,1,2.43,10.01
97,Central,Card,1,7.28,7.22
98,Central,Card,3,0.43,23.46
99,Suburb,Cash,2,3.73,26.47
100,Suburb,Card,4,8.99,12.78
101,North,Cash,5,4.2,71.32
102,Suburb,Cash,1,2.78,36.68
103,Suburb,Card,4,12.68,16.51
104,North,Cash,4,10.88,48.31
105,North,Card,5,4.83,46.52
106,Airport,Card,1,8.43,21.81
107,Airport,Cash,3,7.56,16.64
108,South,Wallet,4,7.41,14.77
109,Central,Cash,3,3.69,23.38
110,Central,Card,5,13.74,30.82
111,South,Cash,4,1.27,31.23
112,East,Card,5,2.5,8.01
113,East,Card,4,2.17,13.57
